"LunaID","ymd","MRID","have_raw","made_folder","made_bids","n_bids_nii","final_rest_preproc"
"11770","20190722",NA,NA,NA,NA,0,NA
"11735","20190719",NA,NA,NA,NA,0,NA
"11772","20190719",NA,NA,NA,NA,0,NA
"11776","20190712",NA,NA,NA,NA,0,NA
"11575","20190708",NA,NA,NA,NA,0,NA
"11737","20190510",NA,NA,NA,NA,0,NA
"11739","20190429",NA,NA,NA,"2019-07-29 14:57:55",2,NA
"11758","20190422",NA,NA,NA,"2019-07-29 14:57:55",5,NA
"11761","20190415",NA,NA,NA,"2019-07-29 14:57:55",5,NA
"11742","20190412",NA,NA,NA,"2019-07-29 14:57:55",5,NA
"11747","20190412",NA,NA,NA,"2019-07-29 14:57:55",5,NA
"11753","20190408",NA,NA,NA,NA,0,NA
"11700","20190406","20190406Luna1","2019-05-20 21:22:56","2019-05-20 21:22:56","2019-07-29 14:57:55",1,NA
"11769","20190405",NA,NA,NA,NA,0,NA
"11756","20190325",NA,NA,NA,NA,0,NA
"11706","20190322","20190322Luna2","2019-04-03 04:58:29","2019-04-03 04:58:29","2019-04-03 09:22:47",5,"2019-04-03 12:45:20"
"11757","20190322","20190322Luna1","2019-04-03 03:48:37","2019-04-03 03:48:37",NA,0,NA
"11745","20190318",NA,NA,NA,NA,0,NA
"11750","20190315","20190315Luna2","2019-04-03 02:48:35","2019-04-03 02:48:35","2019-04-03 09:22:47",5,"2019-04-03 14:53:26"
"11752","20190315","20190315Luna1","2019-04-03 01:56:17","2019-04-03 01:56:17","2019-04-03 09:22:47",5,"2019-04-03 16:22:44"
"11760","20190311","20190311Luna1","2019-04-03 00:33:31","2019-04-03 00:33:31","2019-04-03 09:22:47",1,NA
"11754","20190304",NA,NA,NA,NA,0,NA
"11751","20190228","20190228Luna1","2019-04-02 23:07:23","2019-04-02 23:07:23","2019-04-03 09:22:47",5,"2019-04-03 16:19:23"
"11651","20190222","20190222Luna2","2019-04-02 22:08:28","2019-04-02 22:08:28","2019-04-05 11:39:36",5,"2019-04-05 13:55:56"
"11741","20190209",NA,NA,NA,"2019-04-05 11:39:36",1,NA
"11732","20190204","20190204Luna1","2019-04-02 20:39:40","2019-04-02 20:39:40","2019-04-03 09:22:47",5,"2019-04-03 14:26:00"
"11731","20190201","20190201Luna2","2019-04-02 19:24:48","2019-04-02 19:24:48","2019-04-03 09:22:47",3,"2019-04-03 14:24:05"
"11738","20190201",NA,NA,NA,NA,0,NA
"11734","20190128","20190128Luna1","2019-03-26 16:21:41","2019-03-26 16:21:41","2019-03-29 16:40:43",5,"2019-04-03 14:47:23"
"11707","20190126",NA,NA,NA,NA,0,NA
"11715","20190125","20190125Luna1","2019-04-02 16:58:03","2019-04-02 16:58:03","2019-04-03 09:22:47",5,"2019-04-03 12:42:41"
